"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 25 16:25:17 CST 2023","Tue Jul 25 16:26:07 CST 2023","49666","","test_1_3_concern","TestAddCart","","","test_add_cart[Python\u5b9e\u73b0Web UI\u81ea\u52a8\u5316\u6d4b\u8bd5\u5b9e\u6218-Storm,\u674e\u9cb2\u7a0b,\u8fb9\u5b87\u660e-Storm]",""
"passed","Tue Jul 25 16:26:13 CST 2023","Tue Jul 25 16:27:11 CST 2023","57705","","test_4_1_pay","TestPay","","","test_pay[Python\u5b9e\u73b0Web UI\u81ea\u52a8\u5316\u6d4b\u8bd5\u5b9e\u6218-Storm,\u674e\u9cb2\u7a0b,\u8fb9\u5b87\u660e-Storm]",""
"passed","Tue Jul 25 16:23:26 CST 2023","Tue Jul 25 16:24:05 CST 2023","39541","","test_1_1_home_search","TestHomeSearch","","","test_search[Python\u5b9e\u73b0Web UI\u81ea\u52a8\u5316\u6d4b\u8bd5\u5b9e\u6218-Storm,\u674e\u9cb2\u7a0b,\u8fb9\u5b87\u660e-Storm]",""
"passed","Tue Jul 25 16:24:11 CST 2023","Tue Jul 25 16:25:11 CST 2023","59965","","test_1_2_add_cart","TestAddCart","","","test_add_cart[Python\u5b9e\u73b0Web UI\u81ea\u52a8\u5316\u6d4b\u8bd5\u5b9e\u6218-Storm,\u674e\u9cb2\u7a0b,\u8fb9\u5b87\u660e-Storm]",""
